"","GTEX.117XS.0526.SM.5987Q","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11GSO.0626.SM.5A5LW","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.132NY.1026.SM.5P9IY","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.R55E.0826.SM.2TC5M","GTEX.TKQ1.0126.SM.33HB3","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000254509",38,52,20,88,47,80,50,79,76,66,66,22,101,46,39,71,11,90,46,110
"ENSG00000245498",318,324,467,264,338,229,272,736,692,363,315,207,356,320,336,215,194,401,269,275
"ENSG00000254941",71,78,151,58,129,58,79,186,155,88,45,103,51,108,109,62,83,86,63,64
"ENSG00000215942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000154134",2111,2404,3257,1725,978,767,813,2741,2498,1523,2239,1440,1471,2106,3151,1588,2644,1019,1006,840
"ENSG00000154133",1628,5679,1707,5710,1498,3879,2599,6436,6578,6040,4632,5304,6559,8852,3147,3085,2912,5976,5621,3689
"ENSG00000254568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000254943",13,29,11,21,7,7,6,35,45,21,25,18,15,84,21,3,27,27,8,5
"ENSG00000165478",5,14,4,30,0,19,14,5,2,4,2,9,4,2,6,6,8,17,6,13
"ENSG00000149548",105,74,40,64,49,126,42,123,66,67,33,85,134,134,29,32,80,56,75,43
"ENSG00000134955",48,84,103,192,8,32,54,163,56,88,55,52,91,30,9,18,43,151,184,69
"ENSG00000203306",56,103,168,151,28,39,37,209,124,87,66,71,108,38,64,50,42,147,130,48
"ENSG00000150433",709,945,676,946,627,526,563,1518,1226,885,642,766,1026,1203,968,1059,771,1036,1057,664
"ENSG00000187686",6,0,12,6,0,6,2,6,6,7,0,6,4,4,7,0,11,8,4,5
"ENSG00000255475",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000254880",0,2,0,2,0,3,0,7,2,1,0,0,2,4,0,2,5,5,1,1
"ENSG00000165495",519,792,1433,1848,728,1724,1280,1941,2471,2119,1526,2078,5287,1428,2395,2359,1174,3226,1379,1915
"ENSG00000259290",0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,2,0,0
"ENSG00000254932",1,4,6,4,2,2,0,7,12,5,14,0,4,36,6,7,3,3,0,3
"ENSG00000222844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000149557",783,1514,702,1377,124,286,650,709,440,731,636,996,988,2015,643,660,1200,1193,1256,912
"ENSG00000255537",1,2,0,3,0,0,0,10,0,1,2,3,0,0,4,0,2,1,0,1
"ENSG00000149547",1942,3511,2921,4495,3198,2729,2501,3449,3127,2865,2593,4118,6076,4159,4548,4705,2613,4650,3659,3105
"ENSG00000254671",0,0,2,2,0,4,2,3,0,2,1,2,4,1,0,2,0,0,1,1
"ENSG00000222297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134910",3554,6060,5736,8353,5522,4649,3756,6681,6975,7108,4583,5107,10894,4508,7631,10848,3594,9447,7933,6594
"ENSG00000149554",179,225,210,132,273,152,145,240,235,181,144,214,210,290,257,291,158,184,221,167
"ENSG00000252255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
