"","GTEX.111VG.0526.SM.5N9BW","GTEX.117XS.0526.SM.5987Q","GTEX.11GSO.0626.SM.5A5LW","GTEX.11NV4.0626.SM.5N9BR","GTEX.132NY.1026.SM.5P9IY","GTEX.13NZ9.1126.SM.5MR37","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55G.0726.SM.2TC6J","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFC4.2626.SM.5P9FQ","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZYY3.1926.SM.5GZXS","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000221247",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235370",28,40,13,14,4,50,31,41,17,27,18,54,4,34,24,40,29,24,32,40
"ENSG00000272887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259538",1,2,3,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000259774",2,2,2,0,0,4,2,5,6,2,0,0,1,0,0,0,0,4,11,1
"ENSG00000197627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259551",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230373",389,555,429,277,552,490,637,623,391,297,162,607,110,505,605,582,596,203,360,553
"ENSG00000189136",334,463,430,330,623,330,552,786,433,329,267,627,155,515,451,417,521,301,244,824
"ENSG00000259728",82,61,24,34,41,74,54,7,37,33,56,85,7,26,27,38,42,21,66,45
"ENSG00000176371",664,338,699,608,579,989,715,493,712,585,540,533,159,537,813,979,669,617,499,494
"ENSG00000256278",2,6,1,2,5,9,7,5,7,9,6,13,5,15,5,7,3,4,5,3
"ENSG00000176700",1053,924,1124,1653,1843,2059,2022,1586,1092,1283,1098,1901,533,1388,1466,2753,1509,1297,896,1386
"ENSG00000254414",12,9,6,3,3,8,16,2,6,11,5,5,5,6,7,18,20,18,8,2
"ENSG00000177082",1875,1276,1846,2370,3732,3415,3034,3366,1940,2151,1781,3034,716,3014,2547,4183,2557,2012,1614,2403
"ENSG00000197696",241,572,734,577,1369,731,910,418,1041,387,554,323,126,402,2191,568,1171,1057,192,962
"ENSG00000140612",3952,4457,5921,4875,5634,5600,5178,4244,9772,4027,4306,6959,1408,5662,11331,7181,7448,6220,5910,6684
"ENSG00000259654",6,0,2,4,2,1,9,4,0,4,1,3,0,2,1,6,0,1,0,4
"ENSG00000166716",3149,2551,4399,3957,3278,5764,4291,3493,3985,2721,3713,3721,1336,3524,4346,6499,4707,4368,3052,4930
